X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
83.733324,28.362603,0,0,78,2181.1,2017/07/08 00:33:35+00,,,,,,,,,,,,,,,,,,,,,
83.733353,28.362709,0,0,79,2182.9,2017/07/08 00:33:48+00,,,,,,,,,,,,,,,,,,,,,
83.73336,28.362856,0,0,80,2183.5,2017/07/08 00:34:02+00,,,,,,,,,,,,,,,,,,,,,
83.733399,28.362963,0,0,81,2183.1,2017/07/08 00:34:16+00,,,,,,,,,,,,,,,,,,,,,
83.733425,28.363108,0,0,82,2181.2,2017/07/08 00:34:31+00,,,,,,,,,,,,,,,,,,,,,
83.733427,28.363257,0,0,83,2180.1,2017/07/08 00:34:45+00,,,,,,,,,,,,,,,,,,,,,
83.733472,28.363403,0,0,84,2179.3,2017/07/08 00:34:59+00,,,,,,,,,,,,,,,,,,,,,
83.733465,28.36344,0,0,85,2179.2,2017/07/08 00:35:03+00,,,,,,,,,,,,,,,,,,,,,
83.73356,28.363609,0,0,86,2182.7,2017/07/08 00:35:18+00,,,,,,,,,,,,,,,,,,,,,
83.733598,28.363679,0,0,87,2185.6,2017/07/08 00:35:26+00,,,,,,,,,,,,,,,,,,,,,
83.733716,28.363782,0,0,88,2188.4,2017/07/08 00:35:40+00,,,,,,,,,,,,,,,,,,,,,
83.73376,28.363871,0,0,89,2188.3,2017/07/08 00:35:53+00,,,,,,,,,,,,,,,,,,,,,
83.733781,28.363982,0,0,90,2188.6,2017/07/08 00:36:07+00,,,,,,,,,,,,,,,,,,,,,
83.733779,28.364027,0,0,91,2189.1,2017/07/08 00:36:16+00,,,,,,,,,,,,,,,,,,,,,
83.733768,28.364113,0,0,92,2190.1,2017/07/08 00:36:29+00,,,,,,,,,,,,,,,,,,,,,
83.733771,28.364175,0,0,93,2191.6,2017/07/08 00:36:43+00,,,,,,,,,,,,,,,,,,,,,
83.733689,28.36426,0,0,94,2196,2017/07/08 00:36:56+00,,,,,,,,,,,,,,,,,,,,,
83.733648,28.364351,0,0,95,2198.9,2017/07/08 00:37:08+00,,,,,,,,,,,,,,,,,,,,,
83.733627,28.364408,0,0,96,2199.5,2017/07/08 00:37:18+00,,,,,,,,,,,,,,,,,,,,,
83.733613,28.364487,0,0,97,2199.7,2017/07/08 00:37:32+00,,,,,,,,,,,,,,,,,,,,,
83.73363,28.364621,0,0,98,2199.6,2017/07/08 00:37:46+00,,,,,,,,,,,,,,,,,,,,,
